id	sentiment	review
0	0	കേരളത്തിലെ മികച്ച വിനോദസഞ്ചാരകേന്ദ്രങ്ങളുടെ പട്ടിക എനിക്ക് കാണിച്ചുതരാമോ?
2	1	ബോട്ടിംഗിന് ഏറ്റവും പറ്റിയ സ്ഥലം എനിക്ക് കാണിച്ചു തരൂ
3	2	താമസിക്കാൻ ഒരു മുറി കണ്ടെത്താൻ നിങ്ങൾക്കാകുമോ?
4	3	ഈ മേഖലയിലെ മികച്ച കാഴ്ച ഏതാണ്?
5	4	നിങ്ങൾ ഹോട്ടലുകളുടെ പട്ടിക നൽകാൻ കഴിയുമോ?
6	4	ഈ പ്രദേശത്തെ ഹോട്ടലുകളുടെ പട്ടിക ദയവായി എനിക്ക് തരൂ
1	3	മികച്ച കാഴ്ചകൾ
7	2	താമസിക്കാൻ പറ്റിയ സ്ഥലം
8	0	വിനോദസഞ്ചാര കേന്ദ്രങ്ങളുടെ പട്ടിക തരുമോ
9	0	വിനോദസഞ്ചാര കേന്ദ്രങ്ങളുടെ പട്ടിക
10	2	താമസിക്കാൻ ഒരു നല്ല സ്ഥലം കണ്ടെത്തുക
11	2	താമസിക്കാൻ ചില സ്ഥലം നിർദ്ദേശിക്കാനാകുമോ
12	2	താമസിക്കാൻ ചില നല്ല സ്ഥലങ്ങൾ കണ്ടെത്തുക
13	0	ഇവിടുത്തെ വിനോദ സഞ്ചാര കേന്ദ്രങ്ങളുടെ പട്ടിക
14	1	ബോട്ടിങ്ങിനു പറ്റിയ സ്ഥലങ്ങൾ
15	1	എവിടെ ബോട്ടിംഗ് ചെയ്യാൻ  പറ്റും
16	1	എനിക്ക് എവിടെ ബോട്ടിംഗ് ചെയ്യാൻ പറ്റും
17	0	വിനോദസഞ്ചാര കേന്ദ്രങ്ങൾ
18	3	ഇവിടുത്തെ മികച്ച കാഴ്ചകൾ എന്തൊക്കെ
19	4	ഇവിടുത്തെ ഹോട്ടലുകൾ
20	4	ഹോട്ടൽ പോകണം
